gender,age,year,eyecolor,height,miles,brothers,sisters,computertime,exercise,exercisehours,musiccds,playgames,watchtv
female,18,first,hazel,68,195,0,1,20,Yes,3,75,6,18
male,20,third,brown,70,120,3,0,24,No,0,50,0,3
female,18,first,green,67,200,0,1,35,Yes,3,53,8,1
male,23,fourth,hazel,74,140,1,1,5,Yes,25,50,0,7
female,19,second,blue,62,60,0,1,5,Yes,4,30,2,5
male,19,second,green,67,0,0,1,5,Yes,8,100,0,10
male,37,third,brown,74,511,1,1,3,No,0,50,3,8
male,22,third,brown,73,210,3,2,2,Yes,10,100,6,10
female,26,fourth,brown,70,120,2,1,5,No,0,130,0,20
male,21,third,blue,68,90,1,1,5,Yes,3,34,0.5,5
male,25,fourth,blue,69,90,0,3,3,Yes,6,55,0,21
female,20,second,blue,70,93,0,1,15,Yes,7,60,1,1
male,29,other,brown,69,244,1,1,5,No,0,100,20,20
female,19,second,green,65,40,1,0,6,Yes,4,175,0,12
male,19,first,blue,70,40,0,0,5,No,0,150,3,2
male,22,other,blue,73,90,0,1,15,Yes,10,35,20,4
female,20,second,brown,64,100,2,1,9,No,0,30,10,8
male,21,third,brown,70,124,1,2,4,Yes,6,5,1,5
male,20,third,blue,70,400,0,0,30,Yes,4,50,5,1
female,19,second,hazel,63,206,1,1,10,No,0,20,20,15
male,20,third,hazel,70,184,2,0,20,No,0,40,10,20
female,19,second,blue,69,240,1,1,14,No,0,15,1,10
female,19,first,hazel,65,230,1,0,12.5,Yes,9,30,0,4.5
female,19,second,blue,64,0,1,0,6,Yes,5,52,0,0
male,18,first,green,58,175,1,0,10,No,0,40,5,5
male,19,second,blue,67,60,4,1,5,Yes,2,50,10,12
male,23,fourth,brown,74,160,2,1,20,No,0,60,15,40
male,24,other,blue,72,180,2,2,2,Yes,7,100,7,21
female,20,second,brown,64,0,0,2,3,Yes,3,50,0,10
male,21,third,green,70,100,1,1,6,Yes,5,20,0,10
female,22,fourth,brown,66,300,1,0,1,Yes,1,50,1,1
male,22,fourth,blue,72,0,0,2,10,Yes,6,250,0,25
female,19,second,brown,67,180,0,2,40,Yes,5,70,1,7
female,21,third,blue,63,0,2,3,10,No,0,50,0.5,8
male,21,third,green,70,80,0,2,10,No,0,50,10,30
male,22,fourth,green,74,120,2,1,10,No,0,35,1,5
male,20,third,other,71,90,1,0,15,Yes,4,10,0,1
male,21,third,green,71,220,1,0,18,Yes,30,20,0,21
male,21,third,brown,71,190,1,0,10,Yes,5,25,1,10
female,19,second,blue,64,200,0,1,5,Yes,3,130,0,8
male,18,first,green,71,130,2,1,2,No,0,15,2,25
male,20,second,blue,72,120,0,1,4,Yes,10,56,12,8
male,21,third,brown,70,157,0,1,15,No,0,50,5,28
female,21,fourth,green,69,230,1,0,10,Yes,8,215,2,10
male,19,first,brown,67,75,2,0,10,No,0,0,12,12
male,22,fourth,hazel,70,200,0,2,5,No,0,5,5,20
male,20,second,green,67,109,1,1,5,No,0,80,0,1
female,20,second,blue,62,200,1,0,12,Yes,1,300,0,10
male,21,third,brown,66,0,1,2,5,Yes,5,0,10,30
male,20,third,hazel,69,50,2,0,8,Yes,2.5,250,0,5
female,20,second,hazel,67,600,1,0,15,Yes,4,140,0,15
female,19,second,brown,62,40,1,0,15,Yes,8,25,0,13
female,22,fourth,brown,65,5,1,0,1,Yes,6,50,0,3
male,20,third,hazel,72,80,1,1,2.5,Yes,5.5,10,5.5,14
male,21,third,hazel,70,150,1,0,2,Yes,10,100,15,7
female,19,second,brown,62,30,4,2,10,No,0,10,0,20
male,21,fourth,blue,69,140,1,0,5,No,0,100,0,2
female,21,fourth,blue,66,10,2,1,3,Yes,3,20,5,10
female,21,fourth,green,65,305,2,3,14,Yes,2,110,2,12
male,20,third,blue,79,79,0,2,28,Yes,6,40,2,15
female,20,second,brown,62,220,0,0,24,Yes,5,25,0,7
male,20,third,hazel,71,55,0,1,12,Yes,6,150,12,12
male,19,first,brown,68,20,2,0,10,No,0,40,10,14
male,18,first,blue,71,180,2,0,3,Yes,5,30,2,2
male,18,first,blue,72,75,0,2,3,Yes,2,15,0,4
female,20,second,blue,64,150,0,3,7,No,0,150,0,28
male,21,third,hazel,75,210,0,0,7,No,0,26,10,10
male,20,second,brown,70,11,3,1,7,Yes,10,5,14,40
male,23,other,brown,80,1500,1,0,10,No,0,20,10,1
female,22,fourth,green,64,154,1,0,5,No,0,100,0,10
female,18,second,green,67,80,1,0,70,No,0,56,0,5
female,19,second,hazel,67,360,1,2,10,Yes,4,30,3,6
male,21,third,blue,75,170,1,1,5,Yes,2,6,1,5
female,38,third,hazel,67,40,1,1,4,Yes,7,30,14,14
female,20,third,brown,67,35,0,0,3,Yes,5,60,0,10
male,23,fourth,blue,74,0,1,1,8,Yes,5,500,11,16
female,19,second,hazel,65,35,0,2,5,Yes,4,30,0,5
male,21,third,blue,71,95,1,0,10,Yes,8,30,5,10
male,20,second,blue,75,190,2,0,10,No,0,55,10,1
female,21,third,blue,68,101,1,3,2,No,0,0,1,10
